Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,4884,2000,920,0,1753435919548,1753435919669,10643355,4895591,0
2,0,6598,2000,1001,0,1753435924551,1753435924677,20572119,10296254,0
3,0,9660,2000,935,168,1753435929568,1753435929738,30591764,14291181,2588325
4,0,12939,2000,521,884,1753435934558,1753435934707,34921938,7913051,17971197
5,0,17069,2000,870,370,1753435939634,1753435939785,42327234,17578522,9388732
6,0,19197,2000,514,598,1753435944645,1753435944818,46323865,10322496,18167067
7,0,24567,2000,1001,0,1753435949653,1753435949834,50083290,25065856,0
8,0,29530,2000,777,523,1753435954567,1753435954803,61190583,22181285,18664734
9,0,34403,2000,988,0,1753435959854,1753435960042,60096514,29686719,0
10,0,35359,2000,1065,0,1753435964649,1753435964806,69561089,37041350,0
11,0,34457,2000,554,915,1753435969632,1753435969812,83764469,19273221,45965487
12,0,33463,2000,1047,0,1753435974632,1753435974734,79205887,41464284,0
13,0,32103,2000,1070,0,1753435979648,1753435979800,89253647,47750231,0
14,0,31070,2000,572,962,1753435984572,1753435984777,109448638,25745898,62682287
15,0,30013,2000,1055,0,1753435989839,1753435990005,99422820,52446071,0
16,0,28547,2000,576,978,1753435994730,1753435994902,125281280,29127444,73587668
17,0,27492,2000,1044,0,1753435999744,1753435999853,108853047,56821028,0
18,0,26467,2000,1024,0,1753436004657,1753436004765,118605344,60725963,0
19,0,25476,2000,726,611,1753436009677,1753436009831,142195161,46701623,52844609
20,0,24155,2000,1065,0,1753436014665,1753436014886,131494835,70031207,0
21,0,23115,2000,1074,0,1753436019915,1753436020098,138959106,74619981,0
22,0,21573,2000,561,923,1753436024845,1753436025013,172605711,41714460,92522922
23,0,20541,2000,996,99,1753436029761,1753436029938,158702565,77713163,10408179
24,0,19070,2000,1071,0,1753436034694,1753436034880,158207246,84720155,0
25,0,18004,2000,983,106,1753436039754,1753436039924,171482379,82667622,12201456
26,0,16949,2000,627,860,1753436044852,1753436045053,205048162,55918262,103378874
27,0,15394,2000,1057,0,1753436050030,1753436050202,180572764,95452754,0
