Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,1175,2000,774,604,1753521150629,1753521150693,5084359,1965047,1541052
2,0,5137,2000,941,0,1753521155648,1753521155745,15116164,7111984,0
3,0,10328,2000,770,419,1753521160646,1753521160743,20999301,7513189,5273961
4,0,17012,2000,688,562,1753521165649,1753521165761,27839032,8588616,9887683
5,0,19514,2000,929,0,1753521170657,1753521170761,34928543,16224103,0
6,0,19975,2000,983,0,1753521175663,1753521175754,44878430,22057492,0
7,0,18943,2000,993,209,1753521180663,1753521180748,51963664,24648050,6805020
8,0,17555,2000,804,401,1753521185676,1753521185781,58869252,22023224,15069482
10,1,16217,2000,977,0,1753521195700,1753521195796,74752050,36516784,0
11,1,15276,2000,1031,0,1753521200679,1753521200767,80014854,41203847,0
12,1,14297,2000,437,1012,1753521205675,1753521205759,98230369,18474773,56461550
13,1,13361,2000,1011,0,1753521210693,1753521210780,94569846,47805168,0
14,1,11923,2000,895,0,1753521215687,1753521215801,103181261,46213359,0
15,1,10668,2000,537,937,1753521220679,1753521220783,118735536,28028756,63252277
16,1,8668,2000,915,0,1753521225729,1753521225831,114433132,52352878,0
18,2,6668,2000,701,505,1753521235708,1753521235828,140069813,47092292,39637827
19,2,4668,2000,0,2000,1753521240671,1753521240764,163059204,0,163059204
20,2,2668,2000,0,2000,1753521245694,1753521245793,164270514,0,164270514
21,2,668,2000,0,2000,1753521250689,1753521250787,164350601,0,164350601
22,2,0,668,0,668,1753521255638,1753521255732,58172517,0,58172517
23,2,0,0,0,0,1753521260591,1753521260705,0,0,0
24,2,0,0,0,0,1753521265588,1753521265679,0,0,0
26,3,0,0,0,0,1753521275590,1753521275680,0,0,0
27,3,0,0,0,0,1753521280590,1753521280721,0,0,0
28,3,0,0,0,0,1753521285593,1753521285669,0,0,0
